('Total Revenue', '281,724,000', '211,915,000', '281,724,000', '245,122,000', '198,270,000')
         903794 function calls (879443 primitive calls) in 9.194 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4307    0.001    0.000    0.001    0.000 _parser.py:293(tell)
     3886    0.001    0.000    0.001    0.000 __init__.py:1068(handle_data)
     7422    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      218    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     6238    0.001    0.000    0.006    0.000 {built-in method builtins.next}
      268    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
      166    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     9241    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
    12277    0.001    0.000    0.001    0.000 typing.py:2154(cast)
     3993    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
     6196    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
    222/4    0.001    0.000    0.189    0.047 <frozen importlib._bootstrap>:1349(_find_and_load)
      262    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
      902    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
     4251    0.001    0.000    0.001    0.000 {built-in method builtins.max}
    446/8    0.001    0.000    0.188    0.024 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       66    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     3710    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      332    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
       17    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
      176    0.001    0.000    0.001    0.000 _parser.py:86(opengroup)
     1057    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
      191    0.001    0.000    0.006    0.000 _compiler.py:511(_compile_info)
      317    0.001    0.000    0.002    0.000 typing.py:175(_type_check)
     4285    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
    168/1    0.001    0.000    9.194    9.194 {built-in method builtins.exec}
    56/16    0.001    0.000    0.012    0.001 css_parser.py:925(parse_selectors)
     1363    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
      943    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
      262    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
    220/4    0.001    0.000    0.189    0.047 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     3993    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
     3823    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      885    0.001    0.000    0.001    0.000 typing.py:1188(__setattr__)
      382    0.001    0.000    0.001    0.000 enum.py:1562(__and__)
     4454    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      191    0.001    0.000    0.095    0.000 _compiler.py:740(compile)
      339    0.001    0.000    3.266    0.010 ssl.py:1095(read)
     3859    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
        1    0.001    0.001    9.194    9.194 financial.py:1(<module>)
     2932    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     3992    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
        1    0.000    0.000    0.000    0.000 connection.py:82(HTTPConnection)
      200    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      804    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
       10    0.000    0.000    0.003    0.000 enum.py:919(_convert_)
     2585    0.000    0.000    0.002    0.000 css_parser.py:317(match)
     3777    0.000    0.000    0.000    0.000 parser.py:128(clear_cdata_mode)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
     1446    0.000    0.000    0.001    0.000 enum.py:1544(_get_value)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      193    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
    193/4    0.000    0.000    0.189    0.047 <frozen importlib._bootstrap>:911(_load_unlocked)
      139    0.000    0.000    0.003    0.000 typing.py:1242(__init__)
       43    0.000    0.000    0.547    0.013 response.py:1202(read_chunked)
      166    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      310    0.000    0.000    0.001    0.000 filter.py:618(_attribute_match)
       79    0.000    0.000    0.003    0.000 css_parser.py:472(parse_attribute_selector)
       20    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       21    0.000    0.000    0.467    0.022 __init__.py:1(<module>)
     1008    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      191    0.000    0.000    0.059    0.000 _parser.py:969(parse)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
     2389    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     1005    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
       42    0.000    0.000    0.534    0.013 response.py:1180(_handle_chunk)
      175    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      963    0.000    0.000    0.001    0.000 typing.py:1134(_is_dunder)
      332    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      166    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
     1244    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     1747    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     3164    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      339    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      359    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
     1466    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
    166/4    0.000    0.000    0.189    0.047 <frozen importlib._bootstrap_external>:989(exec_module)
      339    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      501    0.000    0.000    0.001    0.000 enum.py:726(__call__)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      600    0.000    0.000    0.001    0.000 filter.py:629(_match_attribute_value_helper)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
       70    0.000    0.000    2.737    0.039 {method 'readline' of '_io.BufferedReader' objects}
      412    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
  772/706    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       64    0.000    0.000    0.003    0.000 typing.py:687(Union)
      191    0.000    0.000    0.036    0.000 _compiler.py:573(_code)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      141    0.000    0.000    0.001    0.000 typing_extensions.py:3228(_collect_parameters)
  193/190    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      152    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
      191    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      871    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      498    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      141    0.000    0.000    0.000    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
       63    0.000    0.000    0.533    0.008 client.py:633(_safe_read)
  213/177    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
       28    0.000    0.000    0.000    0.000 enum.py:254(__set_name__)
     1087    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
      501    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
       44    0.000    0.000    0.012    0.000 response.py:494(_decode)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
     1397    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
      175    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       87    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:669(reset)
      745    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      152    0.000    0.000    0.002    0.000 _htmlparser.py:285(handle_comment)
      341    0.000    0.000    0.000    0.000 socket.py:732(readable)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      175    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      504    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
       23    0.000    0.000    0.001    0.000 enum.py:528(__new__)
       53    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
     1085    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
     3035    0.000    0.000    0.000    0.000 element.py:2414(__bool__)
      220    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(__enter__)
       43    0.000    0.000    0.000    0.000 response.py:1162(_update_chunk_length)
        6    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
     1099    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      100    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       54    0.000    0.000    0.001    0.000 typing.py:1449(__getitem__)
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
  167/164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
       77    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      143    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
       50    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
      664    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      425    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       62    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      258    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      325    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      333    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      741    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        2    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
      206    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
        8    0.000    0.000    0.001    0.000 feedparser.py:216(_parsegen)
     1099    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      619    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      353    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      311    0.000    0.000    0.098    0.000 __init__.py:226(compile)
       64    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
      619    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      218    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      413    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      200    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
       53    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
      258    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      191    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
        2    0.000    0.000    0.001    0.001 parser.py:56(parsestr)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
    69/38    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      548    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      397    0.000    0.000    0.000    0.000 element.py:2355(get)
      382    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      343    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      341    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
        5    0.000    0.000    0.000    0.000 request.py:2505(getproxies_environment)
      166    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      238    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        2    0.000    0.000    2.530    1.265 client.py:291(_read_status)
      530    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      520    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       10    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
        2    0.000    0.000    2.740    1.370 connection.py:534(getresponse)
      682    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
      303    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
        1    0.000    0.000    0.051    0.051 dammit.py:1(<module>)
      169    0.000    0.000    0.000    0.000 enum.py:202(__get__)
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      358    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      325    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      2/1    0.000    0.000    3.767    3.767 sessions.py:673(send)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        3    0.000    0.000    0.008    0.003 utils.py:1(<module>)
        9    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
       45    0.000    0.000    0.547    0.012 models.py:816(generate)
      220    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
        2    0.000    0.000    0.208    0.104 client.py:213(_read_headers)
        3    0.000    0.000    0.000    0.000 cookiejar.py:466(parse_ns_headers)
       78    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
    80/47    0.000    0.000    0.091    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      533    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      208    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.474    0.474 connection.py:718(connect)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
      201    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        2    0.000    0.000    2.739    1.370 client.py:324(begin)
       60    0.000    0.000    0.001    0.000 typing.py:1458(copy_with)
        2    0.000    0.000    0.000    0.000 typing.py:2186(get_type_hints)
       16    0.000    0.000    0.000    0.000 message.py:494(get)
      375    0.000    0.000    0.000    0.000 <frozen os>:703(__iter__)
    44/32    0.000    0.000    0.009    0.000 css_parser.py:579(parse_pseudo_class)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x73cb41dbaf20}
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      191    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      524    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       43    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
      553    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
      116    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.002    0.002 ssl_.py:225(create_urllib3_context)
       66    0.000    0.000    0.001    0.000 typing.py:885(__init__)
        1    0.000    0.000    0.220    0.220 __init__.py:211(__init__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
  195/193    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      176    0.000    0.000    0.005    0.000 _parser.py:98(closegroup)
       79    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       14    0.000    0.000    0.000    0.000 _deprecation.py:66(_deprecated)
        2    0.000    0.000    0.001    0.000 connection.py:418(request)
       45    0.000    0.000    0.547    0.012 response.py:1069(stream)
      310    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
        3    0.000    0.000    0.000    0.000 socket.py:221(__init__)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
    81/55    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
        1    0.000    0.000    0.312    0.312 connection.py:27(create_connection)
      404    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
       21    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
        1    0.000    0.000    0.049    0.049 css_parser.py:1(<module>)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
    40/31    0.000    0.000    0.009    0.000 css_parser.py:746(parse_pseudo_open)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
    30/17    0.000    0.000    0.109    0.006 {built-in method builtins.__import__}
        2    0.000    0.000    3.215    1.607 connectionpool.py:377(_make_request)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      378    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
       52    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
      519    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       13    0.000    0.000    0.000    0.000 client.py:1292(putheader)
        1    0.000    0.000    0.108    0.108 element.py:1(<module>)
       13    0.000    0.000    0.000    0.000 <frozen _collections_abc>:974(update)
        2    0.000    0.000    0.002    0.001 request.py:1(<module>)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      107    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
        1    0.000    0.000    0.000    0.000 element.py:352(PageElement)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
       58    0.000    0.000    0.001    0.000 parser.py:124(set_cdata_mode)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       64    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
        2    0.000    0.000    0.002    0.001 client.py:231(_parse_header_lines)
      221    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.162    0.162 connection.py:895(_ssl_wrap_socket_and_match_hostname)
        7    0.000    0.000    0.002    0.000 typing.py:2761(_make_nmtuple)
