Error: URL for ticker 'MSFT' does not exist. Status code: 301
         464501 function calls (440570 primitive calls) in 1.112 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.001    0.000    0.001    0.000 _exceptions.py:1(<module>)
     2836    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      194    0.001    0.000    0.084    0.000 _compiler.py:740(compile)
       13    0.001    0.000    0.004    0.000 enum.py:919(_convert_)
     2741    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      123    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
     1698    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      576    0.000    0.000    0.001    0.000 enum.py:850(__setattr__)
      480    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      179    0.000    0.000    0.001    0.000 enum.py:390(__setitem__)
      240    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
     1028    0.000    0.000    0.001    0.000 _parser.py:172(__setitem__)
     2931    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     2585    0.000    0.000    0.002    0.000 css_parser.py:317(match)
      250    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      323    0.000    0.000    0.001    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
      763    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
   614/10    0.000    0.000    0.220    0.022 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     1437    0.000    0.000    0.001    0.000 enum.py:1544(_get_value)
    240/5    0.000    0.000    0.221    0.044 <frozen importlib._bootstrap_external>:989(exec_module)
       79    0.000    0.000    0.003    0.000 css_parser.py:472(parse_attribute_selector)
      447    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
       42    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
     2065    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      107    0.000    0.000    0.004    0.000 typing.py:687(Union)
       34    0.000    0.000    0.003    0.000 enum.py:528(__new__)
      194    0.000    0.000    0.052    0.000 _parser.py:969(parse)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
       94    0.000    0.000    0.007    0.000 dataclasses.py:449(_create_fn)
      865    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      720    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
 1329/953    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
  269/266    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      295    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       91    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      292    0.000    0.000    0.002    0.000 typing.py:1147(__init__)
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
     1152    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       18    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      708    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      240    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       18    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      250    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      421    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      113    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
      509    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      194    0.000    0.000    0.031    0.000 _compiler.py:573(_code)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
      250    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      822    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      240    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      295    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      299    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
     1831    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      242    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
      595    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
     1584    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      341    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      369    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
  214/174    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      194    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      960    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      194    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      495    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
  241/235    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
     1118    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      521    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      147    0.000    0.000    0.000    0.000 dataclasses.py:701(_is_type)
       90    0.000    0.000    0.002    0.000 typing.py:1449(__getitem__)
      107    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
       40    0.000    0.000    0.001    0.000 typing.py:1047(_generic_class_getitem)
       54    0.000    0.000    0.001    0.000 typing.py:1096(_generic_init_subclass)
       61    0.000    0.000    0.001    0.000 dataclasses.py:760(_get_field)
      594    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
     1584    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1215    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
     1226    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
  404/403    0.000    0.000    0.003    0.000 {built-in method builtins.next}
      630    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       81    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      509    0.000    0.000    0.000    0.000 enum.py:1129(__new__)
      369    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
      274    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      894    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      842    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     1655    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       33    0.000    0.000    0.000    0.000 inspect.py:175(get_annotations)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
  547/340    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
      842    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      241    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      142    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      490    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      340    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      293    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       86    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
  155/100    0.000    0.000    0.076    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      497    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      495    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      446    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      240    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      119    0.000    0.000    0.002    0.000 typing.py:1458(copy_with)
      287    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
      765    0.000    0.000    0.000    0.000 _parser.py:83(groups)
       86    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        1    0.000    0.000    0.206    0.206 ssl.py:956(_create)
      742    0.000    0.000    0.000    0.000 {built-in method from_bytes}
  225/156    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
      447    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      287    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      491    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
     19/7    0.000    0.000    0.001    0.000 inspect.py:2470(_signature_from_callable)
       91    0.000    0.000    0.000    0.000 enum.py:1551(__or__)
      198    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
      275    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      790    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      299    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      311    0.000    0.000    0.000    0.000 types.py:192(__init__)
      894    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
    51/21    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      175    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      640    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      148    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       20    0.000    0.000    0.002    0.000 dataclasses.py:568(_init_fn)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
      275    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
