('Total Revenue', '281,724,000', '211,915,000', '281,724,000', '245,122,000', '198,270,000')
         897813 function calls (873520 primitive calls) in 4.231 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     3838    0.001    0.000    0.001    0.000 __init__.py:1068(handle_data)
     6138    0.001    0.000    0.005    0.000 {built-in method builtins.next}
      218    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      268    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
      166    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     9241    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
    12118    0.001    0.000    0.001    0.000 typing.py:2154(cast)
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
    222/4    0.001    0.000    0.192    0.048 <frozen importlib._bootstrap>:1349(_find_and_load)
      262    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
     3938    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
     6196    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
      902    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
    446/8    0.001    0.000    0.191    0.024 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       17    0.001    0.000    0.002    0.000 __init__.py:355(namedtuple)
     4251    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      332    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     3710    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      176    0.001    0.000    0.001    0.000 _parser.py:86(opengroup)
       66    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     1057    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
      322    0.001    0.000    3.070    0.010 ssl.py:1237(recv_into)
     4230    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
      317    0.001    0.000    0.002    0.000 typing.py:175(_type_check)
     1363    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
      191    0.001    0.000    0.006    0.000 _compiler.py:511(_compile_info)
    168/1    0.001    0.000    4.231    4.231 {built-in method builtins.exec}
      943    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
      262    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
    56/16    0.001    0.000    0.012    0.001 css_parser.py:925(parse_selectors)
        1    0.001    0.001    0.001    0.001 connection.py:82(HTTPConnection)
     3823    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     3938    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
      382    0.001    0.000    0.001    0.000 enum.py:1562(__and__)
    220/4    0.001    0.000    0.192    0.048 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      885    0.001    0.000    0.001    0.000 typing.py:1188(__setattr__)
      191    0.001    0.000    0.095    0.000 _compiler.py:740(compile)
     4398    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     3822    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
        1    0.001    0.001    4.231    4.231 financial.py:1(<module>)
     2932    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     3937    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
      200    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      322    0.000    0.000    3.071    0.010 socket.py:693(readinto)
      804    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
     2585    0.000    0.000    0.002    0.000 css_parser.py:317(match)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
     1446    0.000    0.000    0.001    0.000 enum.py:1544(_get_value)
      193    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       10    0.000    0.000    0.003    0.000 enum.py:919(_convert_)
     3722    0.000    0.000    0.000    0.000 parser.py:128(clear_cdata_mode)
    193/4    0.000    0.000    0.192    0.048 <frozen importlib._bootstrap>:911(_load_unlocked)
      139    0.000    0.000    0.002    0.000 typing.py:1242(__init__)
       21    0.000    0.000    0.474    0.023 __init__.py:1(<module>)
      166    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       20    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       79    0.000    0.000    0.004    0.000 css_parser.py:472(parse_attribute_selector)
     1008    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      309    0.000    0.000    0.001    0.000 filter.py:618(_attribute_match)
      191    0.000    0.000    0.058    0.000 _parser.py:969(parse)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
     1005    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
     2389    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     1244    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      175    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      166    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
     1747    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      963    0.000    0.000    0.001    0.000 typing.py:1134(_is_dunder)
      332    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      262    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      359    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
    166/4    0.000    0.000    0.191    0.048 <frozen importlib._bootstrap_external>:989(exec_module)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
     3164    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
     1466    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      501    0.000    0.000    0.001    0.000 enum.py:726(__call__)
      142    0.000    0.000    0.000    0.000 css_parser.py:369(__init__)
      322    0.000    0.000    3.070    0.010 ssl.py:1095(read)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
